TABLE HotSmlS901GElectric070032CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
GuestRoom 102_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-30,Resistance,BaseZnSys2-30,GuestRoom102 Thermal Zone,5864.85,5864.85,0,-99996,-99996,,,
GuestRoom103_PTHP CoilHtg,BaseSys2 CoilHtg-31,HeatPump,BaseZnSys2-31,GuestRoom103 Thermal Zone,5696.805,5481.1,0,-99996,-99996,,,
GuestRoom 103_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-31,Resistance,BaseZnSys2-31,GuestRoom103 Thermal Zone,5737.862,5737.862,0,-99996,-99996,,,
GuestRoom104_PTHP CoilHtg,BaseSys2 CoilHtg-32,HeatPump,BaseZnSys2-32,GuestRoom104 Thermal Zone,5234.956,5036.6,0,-99996,-99996,,,
GuestRoom 104_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-32,Resistance,BaseZnSys2-32,GuestRoom104 Thermal Zone,5712.45,5712.45,0,-99996,-99996,,,
GuestRoom105_PTHP CoilHtg,BaseSys2 CoilHtg-33,HeatPump,BaseZnSys2-33,GuestRoom105 Thermal Zone,4546.036,4372.963,0,-99996,-99996,,,
GuestRoom 105_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-33,Resistance,BaseZnSys2-33,GuestRoom105 Thermal Zone,5660.7,5660.7,0,-99996,-99996,,,
GuestRoom201_PTHP CoilHtg,BaseSys2 CoilHtg-34,HeatPump,BaseZnSys2-34,GuestRoom201 Thermal Zone,5801.723,5581.3,0,-99996,-99996,,,
GuestRoom201_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-34,Resistance,BaseZnSys2-34,GuestRoom201 Thermal Zone,5843.475,5843.475,0,-99996,-99996,,,
GuestRoom202_205_PTHP CoilHtg,BaseSys2 CoilHtg-35,HeatPump,BaseZnSys2-35,GuestRoom202_205 Thermal Zone,5173.583,4977.896,0,-99996,-99996,,,
