TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
GuestRoom314_FPFC CoilHtg,BaseSys2 CoilHtg-21,HotWater,BaseZnSys2-21,GuestRoom314 Thermal Zone,4590.237,4590.237,0.22942,-99996,-99996,,,
GuestRoom315_318_FPFC CoilHtg,BaseSys2 CoilHtg-22,HotWater,BaseZnSys2-22,GuestRoom315_318 Thermal Zone,4094.603,4094.603,0.20465,-99996,-99996,,,
GuestRoom319_FPFC CoilHtg,BaseSys2 CoilHtg-23,HotWater,BaseZnSys2-23,GuestRoom319 Thermal Zone,4514.737,4514.737,0.22565,-99996,-99996,,,
GuestRoom320_323_FPFC CoilHtg,BaseSys2 CoilHtg-24,HotWater,BaseZnSys2-24,GuestRoom320_323 Thermal Zone,4018.453,4018.453,0.20085,-99996,-99996,,,
GuestRoom324_FPFC CoilHtg,BaseSys2 CoilHtg-25,HotWater,BaseZnSys2-25,GuestRoom324 Thermal Zone,4466.225,4466.225,0.22323,-99996,-99996,,,
GuestRoom401_FPFC CoilHtg,BaseSys2 CoilHtg-26,HotWater,BaseZnSys2-26,GuestRoom401 Thermal Zone,6478.237,6478.237,0.32379,-99996,-99996,,,
GuestRoom402_405_FPFC CoilHtg,BaseSys2 CoilHtg-27,HotWater,BaseZnSys2-27,GuestRoom402_405 Thermal Zone,4607.353,4607.353,0.23028,-99996,-99996,,,
GuestRoom406_408_FPFC CoilHtg,BaseSys2 CoilHtg-28,HotWater,BaseZnSys2-28,GuestRoom406_408 Thermal Zone,4936.054,4936.054,0.24671,-99996,-99996,,,
GuestRoom409_412_FPFC CoilHtg,BaseSys2 CoilHtg-29,HotWater,BaseZnSys2-29,GuestRoom409_412 Thermal Zone,4601.065,4601.065,0.22997,-99996,-99996,,,
GuestRoom413_FPFC CoilHtg,BaseSys2 CoilHtg-30,HotWater,BaseZnSys2-30,GuestRoom413 Thermal Zone,5360.25,5360.25,0.26791,-99996,-99996,,,
GuestRoom414_FPFC CoilHtg,BaseSys2 CoilHtg-31,HotWater,BaseZnSys2-31,GuestRoom414 Thermal Zone,5358.325,5358.325,0.26781,-99996,-99996,,,
GuestRoom415_418_FPFC CoilHtg,BaseSys2 CoilHtg-32,HotWater,BaseZnSys2-32,GuestRoom415_418 Thermal Zone,4595.188,4595.188,0.22967,-99996,-99996,,,
GuestRoom419_FPFC CoilHtg,BaseSys2 CoilHtg-33,HotWater,BaseZnSys2-33,GuestRoom419 Thermal Zone,5320.175,5320.175,0.26591,-99996,-99996,,,
GuestRoom420_423_FPFC CoilHtg,BaseSys2 CoilHtg-34,HotWater,BaseZnSys2-34,GuestRoom420_423 Thermal Zone,4525.075,4525.075,0.22617,-99996,-99996,,,
GuestRoom424_FPFC CoilHtg,BaseSys2 CoilHtg-35,HotWater,BaseZnSys2-35,GuestRoom424 Thermal Zone,5271.3,5271.3,0.26346,-99996,-99996,,,
BaseVAVReheatCoil,BaseVAVBox CoilHtg,HotWater,BaseAirSys5,CorridorFlr1 Thermal Zone,31743.238,31743.238,1.58656,-99996,-99996,,,
BaseVAVReheatCoil-5,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys5,EmployeeLoungeFlr1 Thermal Zone,6469.675,6469.675,0.32336,-99996,-99996,,,
BaseVAVReheatCoil-6,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys5,ExerciseCenterFlr1 Thermal Zone,5963.388,5963.388,0.29806,-99996,-99996,,,
BaseVAVReheatCoil-7,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys5,FrontLoungeFlr1 Thermal Zone,47328.051,47328.051,2.3655,-99996,-99996,,,
BaseVAVReheatCoil-8,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys5,FrontOfficeFlr1 Thermal Zone,21197.648,21197.648,1.05948,-99996,-99996,,,
BaseVAVReheatCoil-9,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys5,LaundryRoomFlr1 Thermal Zone,16249.387,16249.387,0.81216,-99996,-99996,,,
BaseVAVReheatCoil-10,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys5,MechanicalRoomFlr1 Thermal Zone,8173.075,8173.075,0.4085,-99996,-99996,,,
BaseVAVReheatCoil-11,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys5,MeetingRoomFlr1 Thermal Zone,22322.813,22322.813,1.11572,-99996,-99996,,,
BaseVAVReheatCoil-12,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys5,FrontStairsFlr1 Thermal Zone,5251.387,5251.387,0.26247,-99996,-99996,,,
BaseVAVReheatCoil-16,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys5,FrontStorageFlr1 Thermal Zone,2905.563,2905.563,0.14522,-99996,-99996,,,
